,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.0,10546121.922243655,14412745.859257929,17400295.706456013,7136387.97586166,1833927.5698823747,7410485.457372246,6974602.909646941,16947127.74147907,8523070.225395352,15379487.882306753,11034341.11764688,15606595.363581246,17913125.345285974,17802657.6013318,454283.1953167594,132004.31372608407,10038154.253861101,17967951.9776772,9340647.401937164,4692502.781986814,4387660.573381908,6237107.338558241
1,10546121.922243655,0.0,14976129.737081202,8504699.292791527,3432487.9242162965,10000479.167025082,17539404.660657514,3629198.1105166012,6417925.293502242,2882828.7566024926,5511778.0149054555,17092356.877801612,5236246.709656371,11181229.392467584,11488822.445724346,10138733.546162263,10611227.92025536,17613021.00474437,10829711.032897908,1569748.2073260837,6115028.631084358,14198413.213286784,16112695.51196416
2,14412745.859257929,14976129.737081205,0.0,6581460.888781261,18052512.97462256,14427408.576404063,7010718.1534654135,18032606.032731824,8589322.192284584,16004778.312835542,9564974.69223009,3608032.205496723,9742318.113282228,3795497.261766058,3493168.925826739,14776130.626762373,14328814.914635088,4527871.886368246,4160035.5216568517,15840267.118896853,17633009.04501667,10230222.569002775,8263332.929446144
3,17400295.706456013,8504699.292791525,6581460.888781261,0.0,11534752.77979366,15573113.031231092,12833587.04067785,11600945.563699195,2848567.8630622434,9709457.21426802,2999233.7946423306,9105495.51938726,3397352.433955633,2946014.570151078,3358735.6123156776,17041173.901880145,17318453.3999492,10074234.09375418,2502509.212116422,9268996.269745866,13362346.67747028,14736376.80885949,13513137.093155332
4,7136387.97586166,3432487.924216297,18052512.97462256,11534752.77979366,0.0,6618378.246583762,14266319.693214035,283476.75756204885,9812348.942725642,2087775.7441725214,8591283.931406446,16716818.451257221,8536039.922009366,14419351.484861314,14779538.946576448,6718438.477957544,7194659.579368219,16133717.860933611,14011824.428689448,2277691.9571173,2750891.0978878974,10887377.157092554,12874551.51154417
5,1833927.5698823745,10000479.167025082,14427408.576404063,15573113.031231092,6618378.246583762,0.0,7649343.501602709,6392515.22125,15909589.789074685,7512612.049556831,13972885.166716106,10821893.830578394,14468178.023309514,16833398.997890573,16993528.579127204,1557662.1082949284,1745551.2971159846,9906131.120509243,16638927.72733097,8570780.245412521,3886852.13931427,4281715.756209481,6277085.225537491
6,7410485.457372246,17539404.660657514,7010718.1534654135,12833587.04067785,14266319.693214035,7649343.501602709,0.0,14033376.497288136,15455519.914772484,14691277.2900838,15493547.228476714,3766765.1523524206,16202202.81913412,10648739.945190506,10429971.234446501,7765427.861462681,7321769.544892014,2772699.317403139,10905173.167394064,15977928.233034642,11521251.827929135,3383142.719822244,1427839.6151965612
7,6974602.909646941,3629198.1105166003,18032606.032731824,11600945.563699195,283476.7575620489,6392515.22125,14033376.497288132,0.0,9972572.727352265,2027860.1146352133,8684981.352924267,16434791.080980228,8671570.323833449,14511268.007138247,14884587.596724581,6549687.43813368,7028036.040062205,15852740.396241011,14092243.822352018,2388050.029333846,2512124.94274849,10651082.686779814,12633082.658639112
8,16947127.74147907,6417925.293502242,8589322.192284584,2848567.8630622434,9812348.942725642,15909589.789074685,15455519.914772484,9972572.727352265,0.0,8499279.825426525,2086045.3752107974,11694561.46925469,1441425.4915513196,4837107.878031901,5099687.216704043,16518696.560283074,16998480.527139477,12696492.394307384,4555091.399616666,7612049.860707782,12304339.829492383,17486193.4684249,16331054.148397934
9,8523070.225395352,2882828.756602492,16004778.312835542,9709457.21426802,2087775.7441725214,7512612.049556831,14691277.2900838,2027860.1146352133,8499279.825426523,0.0,6918291.667265202,15539809.47839919,7095432.4855549205,12654536.3943806,13059180.73509259,8072981.06126995,8548559.55840857,15416897.697106097,12210908.80563802,1327181.387954788,3830850.9129111567,11468998.637089457,13282722.766046576
