,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.0,4228.751719908926,1963.9648165405831,1523.3622041334245,447.89635263158624,1155.3879942699718,1405.1201903349317,1534.9610462340952,4599.042958340799,3356.1597253646287,3411.7263670294365,1391.2700150920145,2891.0171764015554,4372.689528382315,1443.749713092879,3815.383252990557,2939.4659787664095,7566.448354845195,7064.117310768599,805.0316779125668,1417.3037253181535,35872.14046252374,439.48908580794887,1612.8705063085229,1360.2910585048676,1420.4030863698604,2574.970539091093
1,4228.751719908942,0.0,2481.266455693198,2834.610871999177,4233.305238344136,3167.4284377860886,3076.0225815250324,2976.23995882823,1715.2690372397315,4712.733930795538,4751.076317305138,2850.7827219667024,1348.9189242792356,1640.9800132100113,2991.8344920149843,2773.6898094092144,3015.071974067855,3345.291200021744,2981.8487420298566,3829.155656102489,2887.2105479427696,32294.742871626466,4098.9244657835925,3219.511111331468,3176.609344467196,3087.331859749641,3963.1004980091193
2,1963.964816540538,2481.2664556931904,0.0,441.7804784321965,1838.0866653789278,808.614408983295,1492.866324982514,1503.0633849986975,2636.4731934345896,2769.973075823931,2822.3570085875467,696.2337696970977,1330.3354154964306,2410.2136805654004,543.0236290813848,2074.1445764147866,1432.5227233941557,5730.49091696647,5146.096507879563,1928.977547525119,1159.2970713689085,33940.47248680081,2014.0939197292548,760.7731466063644,705.1832410854626,617.691117743741,3139.016717498934
3,1523.3622041334243,2834.6108719991453,441.7804784321863,0.0,1420.5511375533263,368.40742434596666,1200.1865598559866,1242.769441209266,3078.213780655748,2822.3091473691256,2877.5051098479134,347.8082894853065,1585.4387511008879,2851.9679393659344,182.98322427227558,2450.786766378425,1712.1625966870783,6124.977777882065,5567.334203116516,1521.9061696418378,880.6690040598845,34378.987635886886,1579.1411574931096,629.4616924965261,384.0143557954506,303.68583967496147,2883.2859024047143
4,447.8963526318804,4233.305238344134,1838.0866653788466,1420.5511375533317,0.0,1068.1322885489874,1654.4937787736715,1779.3609612390867,4433.228904976989,2918.9686033314506,2974.1341591251585,1393.6595011719205,2928.507524657295,4207.730606283156,1295.2400886620862,3529.0387688335627,2624.2026416311614,7542.700187438988,6983.659686758111,1193.3490150260939,1579.3549888198074,35631.316341136444,870.3332348124037,1337.1769422492557,1158.9455378156692,1236.5769482741912,2983.097109795837
5,1155.3879942701644,3167.428437786106,808.6144089833803,368.4074243458475,1068.1322885489876,0.0,1084.913012680974,1162.3462657113237,3444.531531737347,2872.31077008829,2928.817354185673,379.40413552376526,1880.0236818092005,3218.213336455346,314.7360477657697,2757.7897087764786,1960.9752437089655,6475.13943598266,5930.8297965272195,1229.7519439810542,820.7268073976703,34736.4144658604,1235.5169080248504,696.0542488761471,351.84264897921406,351.9814782918453,2749.8300684834944
6,1405.1201903349718,3076.022581525072,1492.866324982797,1200.1865598559912,1654.4937787738436,1084.913012680646,0.0,129.97411275639126,3869.2951382318643,3956.606884554163,4013.0350848403987,852.4179502510707,1743.4011999046522,3653.153113618298,1305.948322263597,3560.1035233853427,2898.7430172015725,6407.134032857688,6031.461064285519,771.9394464394228,333.5692924312961,35176.938811210166,1111.2286849397635,1762.9811036559436,1425.8824942512201,1398.4036378056583,1684.529270460688
7,1534.9610462340931,2976.2399588283424,1503.0633849985177,1242.7694412088383,1779.3609612389946,1162.3462657116609,129.97411275635585,0.0,3815.2176495989333,4027.3889235732217,4083.5961124214214,896.8222436069436,1652.7792582534491,3601.3225658005554,1362.1097851322759,3557.513541335035,2923.222096851901,6301.235344303314,5939.195018649242,891.5088532607418,362.18271479801643,35109.4418187819,1238.5226800223747,1826.3277980015039,1494.8459143481164,1460.8541212517441,1644.8832695812937
8,4599.0429583406285,1715.2690372392435,2636.473193434589,3078.213780655787,4433.228904977152,3444.5315317372783,3869.295138231891,3815.2176495989775,0.0,3775.421230351395,3797.5578083616206,3278.533718020779,2314.470251278364,226.3595525098628,3159.595695302038,1529.0511577710024,2238.8765871828136,3583.6266480105314,2746.8166593400556,4490.893779594887,3576.6080493233953,31330.75875767904,4634.04239898254,3135.5868083126493,3275.1322082880743,3200.834561915918,5193.41621047802
9,3356.15972536485,4712.733930795265,2769.9730758237356,2822.3091473689096,2918.968603331263,2872.3107700888654,3956.6068845542827,4027.3889235734478,3775.421230351182,0.0,56.90873326314214,3147.506250349885,3977.2077909469062,3620.5057425518153,2675.3744424593256,2254.687004734491,1697.8272644758995,7358.852758985916,6481.194715424394,3933.6808573503495,3672.2042688329448,33604.25024455211,3727.8693740315866,2205.0769956878185,2532.6030144011625,2569.2659368748664,5613.806299074458
